Как скачать все остатки кодов маркировки обуви одним файлом?,"Через UI никак не скачаешь.
Только по API.
Запрос списка КМ происходит в несколько этапов:
1. С помощью метода POST /cises/my формируется заказ на список КМ.
2. Проверка статуса заказа с помощью вызова метода GET /cises/orders/{uuid}/status.
3. Получение результата заказа с помощью вызова метода GET /cises/orders/{uuid}/result.",
Как создать карточку товара в НКТ?,"1. Авторизация в системе ИС МПТ, затем переход в НКТ  
 
2. Переход в раздел «Товары»  
 
3. Создание новой карточки  
   Нажмите на кнопку «Создать карточку товара» или аналогичную («Добавить товар»).

4. Заполнение обязательных полей  
   - Наименование товара
   - Категория (выберите из справочника)
   - Штрихкод (GTIN)
   - Производитель
   - Описание и характеристики (размер, цвет, состав и др.)
   - Изображения товара
   - Дополнительные параметры в зависимости от типа товара (например, алкоголь, обувь и др.)

5. Проверка корректности данных  
   Проверьте все введённые данные на соответствие требованиям и стандартам.

6. Сохранение карточки  
   После заполнения всех обязательных полей нажмите кнопку «Сохранить» или «Отправить на модерацию».

7. Ожидание модерации  
   После отправки карточки на модерацию оператор НКТ проверит корректность данных. В случае необходимости исправлений вернет карточку на доработку.

8. Публикация карточки  
   После успешной модерации карточка необходимо опубликовать карточку товара. Нажать на три точки выбрать ""Опубликовать"" и подписать ЭЦП. Карточка товара будет опубликована и станет доступна для дальнейших действий (например, генерации кодов маркировки).

Обратите внимание:  
- Для некоторых категорий товаров могут требоваться дополнительные поля или документы.  
- Важно соблюдать установленные форматы ввода и требования к изображениям.",
Как заказать коды маркировок?,"1. Зарегистрироваться в системе обязательной маркировки товаров (ИС МПТ) на портале оператора Казахтелеком, в зависимости от категории товара.
2. Получить электронную цифровую подпись (ЭЦП) для юридического лица или индивидуального предпринимателя.
3. В личном кабинете системы маркировки перейти в сервис ""Станция управления заказами"" (СУЗ) зайти в ""Заказы"" и нажать на кнопку ""Новый заказ"".
4. Заполнить все необходимые поля, указав наименование товара, количество необходимых кодов, а также сведения о производителе или импортере.
5. После обработки заявки система сгенерирует уникальные коды маркировки в формате Data Matrix.
6. Скачайте полученные коды и интегрируйте их в процесс нанесения на продукцию (этикетка, упаковка и др.).
7. Подтвердите факт нанесения кодов маркировки и их ввод в оборот через личный кабинет системы.

Важно: Оплата за коды маркировки производится согласно тарифам, установленным оператором системы. После оплаты коды доступны для скачивания.

Если вам требуется интеграция с 1С или другой учетной системой, используйте API, предоставляемый оператором маркировки.",
Какое количество кодов маркировки можно заказать разово?,В одном заказе можно заказать 1 500 000 кодов маркировки. Например можно заказать сразу на 10 GTIN по 150 000 шт.,
Какой вид обуви подлежит маркировке?,"Маркировке подлежит обувь соответствующая кодам ТН ВЭД ЕАЭС 6401, 6402, 6403, 6404, 6405",
Когда введена обязательная маркировка обуви?,Обязательная маркировка обуви в Казахстане введена с 1 ноября 2021 года.,
До какой даты разрешалось продажа немаркированной обуви?,Продажа немаркированных остатков обуви в РК разрешалось до 1 апреля 2023 года (остатки - обувь произведенная в РК или ввезенная в РК до 1 нобяря 2021 года). ,
Каким нормативным правовым актом РК регулируется маркировка обуви в Казахстане?,Порядок маркировки обувных товаров в РК регламентируется Правилами маркировки и прослеживаемости обувных товаров утвержденный приказом МИИР РК от 30 сентября 2021 года №518.,
Сколько стоит код маркировки для маркировки одной пары обуви?,"Стоимость кода маркировки для маркировки одно йпары обуви - 2,68 тенге без НДС.",
Кто должен маркировать обувь?,"Если обувь производится в Казахстане, то её маркирует производитель обуви до выставления на продажу. Если обувь импортируется в Казахстан импортер обязан промаркировать обувь до ввоза в Казахстан или промаркировать в Казахстане до таможенного оформления на таможенных складах, либо допускается маркировка обуви после таможенного оформления на складах импортера в Казахстане если склад импортера включен Приказом Министерства промышленности и строительства в перечень складов, где разрешается проводить маркировку обуви.",
